Name of the food,image,calories,Personal Points,summary,The recipe Key
Bloody Mary Deviled Eggs,https://www.skinnytaste.com/wp-content/uploads/2024/03/Bloody-Mary-Deviled-Eggs-4.jpg,113 kcal,1,"Bloody Mary Deviled Eggs with bacon, cornichons, Old Bay seasoning and celery are a fun twist on classic deviled eggs.",DF GF HP LC
Shrimp Stir Fry,https://www.skinnytaste.com/wp-content/uploads/2024/02/Shrimp-StirFry-15-1.jpg,307 kcal,6,"This Shrimp Stir Fry recipe, with juicy shrimp, asparagus, and red bell peppers makes a quick, easy, and healthy dinner for any night of the week. Ready in less than 20 minutes!",DF GF HP Q
High-Protein Egg Bagel,https://www.skinnytaste.com/wp-content/uploads/2024/02/High-Protein-Egg-Bagels-11.jpg,184 kcal,4,"This High-Protein Egg Bagel recipe gets its yellow color from egg yolks, which also make them extra fluffy. They’re so easy, too—no boiling or yeast required. Simply mix with Greek yogurt and bake or air fry!",AF FM GF HP KF MP V
Cranberry Chicken Salad on Apple Slices,https://www.skinnytaste.com/wp-content/uploads/2024/02/Cranberry-Chicken-Salad-with-Apple-Slices-3.jpg,439 kcal,6,"Easy Cranberry Chicken Salad on Apple Slices make a sweet, crunchy, protein-packed lunch!",DF GF HP HF Q
Butternut Squash Soup,https://www.skinnytaste.com/wp-content/uploads/2024/02/Butternut-Soup-7.jpg,144 kcal,2,"This cozy Butternut Squash Soup is sweetened with apple and seasoned with warming spices like ginger, cinnamon, and paprika. It’s made with coconut milk, so it’s also dairy-free and vegan.",DF HF V
Air Fryer Peanut Curry Tofu with Gingery Cauliflower Rice,https://www.skinnytaste.com/wp-content/uploads/2024/02/Air-Fryer-Peanut-Curry-Tofu-with-Gingery-Cauliflower-Rice-11.jpg,453 kcal,7,"This delicious Air Fryer Peanut Curry Tofu with Gingery Cauliflower Rice is a quick, vegan, high protein, low-carb meal.",AF DF GF HP HF LC MP V
Baked Fish Sticks,https://www.skinnytaste.com/wp-content/uploads/2014/04/Healthy-Baked-Fish-Sticks-7.jpg,229 kcal,4,"These healthy, Baked Fish Sticks with Lemon Caper Sauce are made from scratch and so quick and easy. Bake them in the oven or the air fryer – directions are provided for both.",AF GF KF Q
Chicken Pot Pie Soup,https://www.skinnytaste.com/wp-content/uploads/2014/01/chicken-pot-pie-soup-13.jpg,268 kcal,4,"This hearty chicken pot pie soup tastes just like chicken pot pie, only as a hearty soup. It’s packed with protein and veggies in every bite!",GF KF
Chicken Florentine,https://www.skinnytaste.com/wp-content/uploads/2024/02/chicken-florentine-1.jpg,291 kcal,6,This Creamy Chicken Florentine is made with baby spinach in a light and creamy white sauce. It’s undeniably delicious!,GF HP KF LC
Carrot Banana Protein Smoothie,https://www.skinnytaste.com/wp-content/uploads/2024/02/Carrot-Banana-Protein-Smoothie-5-1.jpg,294 kcal,7,"If you want to switch up your smoothie game, you will love this Carrot Banana Protein Smoothie made with almond milk and flax seed.",DF GF HP HF KF Q V W
White Chicken Chili,https://www.skinnytaste.com/wp-content/uploads/2024/02/White-Chicken-Chili-13.jpg,372 kcal,1,"This delicious white chicken chili is made with homemade tortilla strips, perfect for chilly days when you want a warm cozy meal.",FM HP HF MP
Chicken Gnocchi Soup,https://www.skinnytaste.com/wp-content/uploads/2024/02/Chicken-Gnocchi-Soup-18.jpg,341 kcal,9,"Creamy “Marry Me” Chicken Gnocchi Soup is made with chicken breast, sausage, spinach, sun-dried tomatoes, and pillowy soft gnocchi.",FM GF HP
Chocolate Oat Flour Banana Bread,https://www.skinnytaste.com/wp-content/uploads/2024/01/Chocolate-Banana-Oat-Bread-6.jpg,190 kcal,5,"This Chocolate Oat Flour Banana Bread is moist, chocolatey and loaded with chocolate chips. If you love chocolate and banana bread, you’ll enjoy this gluten-free banana bread!",GF HF KF V
Crock Pot Pasta Sauce with Sausage,https://www.skinnytaste.com/wp-content/uploads/2011/06/Crock-Pot-Pasta-Sauce-with-Sausage-11.jpg,115 kcal,4,"This easy, 5-ingredient Crock Pot Pasta Sauce made with chicken or turkey sausage is perfect for busy weeknights!",DF GF SC
Roasted Red Pepper Soup,https://www.skinnytaste.com/wp-content/uploads/2009/10/Roasted-Red-Pepper-Soup-11.jpg,138 kcal,3,"Vegetarian Roasted Red Pepper Soup is a comforting, vibrant soup offering a perfect blend of sweetness, smokiness, and warmth.",FM GF V
Penne alla Vodka with Chicken,https://www.skinnytaste.com/wp-content/uploads/2024/01/Vodka-Sauce-Penne-with-Chicken-9.jpg,519 kcal,9,"This healthier penne alla vodka with chicken is made with no heavy cream! Pureed roasted vegetables are my secret for a creamy vodka sauce that tastes just as good as the original. High protein, with 42 grams of protein per serving.",FM HP HF
Korean-Inspired Salmon Rice Bowl,https://www.skinnytaste.com/wp-content/uploads/2024/01/Air-Fryer-Gochujang-Salmon-Rice-Bowls-5.jpg,431 kcal,6,I’m obsessed with this quick Korean-inspired Gochujang Salmon Rice Bowl. It’s a flavorful meal in under 30-minutes! Air fryer or oven!,AF DF HP Q
Lentil Bolognese,https://www.skinnytaste.com/wp-content/uploads/2024/01/Lentil-Bolognese-7.jpg,358 kcal,6,"This hearty, savory Lentil Bolognese is a great vegetarian meal that doesn’t sacrifice comfort. It’s also high in protein and fiber!",GF HP HF V
Ranch Popcorn,https://www.skinnytaste.com/wp-content/uploads/2024/01/Ranch-Popcorn-7.jpg,81 kcal,0,"If you want a low-calorie, healthy snack, you’ll love this air-popped Ranch Popcorn with homemade ranch popcorn seasoning!",GF KF Q V
Crock Pot Pork Roast,https://www.skinnytaste.com/wp-content/uploads/2024/01/Easy-Slow-Cooker-Pork-Roast-with-Mushrooms-and-Polenta-7.jpg,361 kcal,8,This easy Crock Pot Pork Roast with Mushrooms and Polenta is packed with flavor and is incredibly easy to prepare.,DF HP SC
Pesto Salmon,https://www.skinnytaste.com/wp-content/uploads/2024/01/Pesto-Salmon-7.jpg,290 kcal,3,"If you love my parmesan salmon recipe, you will love this easy 3-ingredient Pesto Salmon! Make it in the air fryer or oven.",AF GF HP Q
Marry Me Chicken,https://www.skinnytaste.com/wp-content/uploads/2024/01/Marry-Me-Chicken-8.jpg,286 kcal,6,This Marry Me Chicken recipe is a delicious creamy chicken breast recipe with sun-dried tomatoes and spinach in a light cream sauce. Your significant other will definitely want to say “Marry me” after trying this recipe!,FM GF HP
Mushroom Toast,https://www.skinnytaste.com/wp-content/uploads/2024/01/Mushroom-Toast-4.jpg,196 kcal,5,"Mushroom Toast with labneh or cream cheese served on sourdough toast is a fast and easy breakfast, brunch, or lunch.",Q V
Crispy Baked Chicken Thighs,https://www.skinnytaste.com/wp-content/uploads/2024/01/Baked-Chicken-Thighs-1.jpg,227 kcal,6,"These crispy baked chicken thighs are always on rotation in my house, my go-to easy weeknight meal loaded with flavor and so juicy inside!",DF GF HP KF LC
BBQ Chicken Tenders in Air Fryer,https://www.skinnytaste.com/wp-content/uploads/2024/01/Air-Fryer-BBQ-Chicken-Fingers-8.jpg,312 kcal,4,"The kids will love these crispy air-fried BBQ chicken tenders breaded and dunked in a sweet, fiery BBQ sauce! Serve them with some corn on the cob or a big salad.",AF GF HP KF Q
Cottage Cheese Cheesecake,https://www.skinnytaste.com/wp-content/uploads/2024/01/Cottage-Cheese-Cheesecake-9.jpg,159 kcal,6,"This New York-style cheesecake is made with a combination of cottage cheese and cream cheese, blended together for a creamy and delicious low-calorie dessert! No one will even know!",V
Smoked Turkey Sausage Breakfast Skillet,https://www.skinnytaste.com/wp-content/uploads/2024/01/Smoked-Turkey-Breakfast-Skillet-11.jpg,284 kcal,5,"Savory eggs, spinach, mushrooms, and cheese cook together in one skillet for a protein-rich breakfast in this Smoked Turkey Sausage Breakfast Skillet.",GF HP LC MP
Italian Wedding Soup,https://www.skinnytaste.com/wp-content/uploads/2012/08/Italian-Wedding-Soup-17.jpg,167 kcal,2,"Made with homemade turkey meatballs, tiny pasta, and dark leafy greens, Italian Wedding Soup is simple yet flavorful. Ready in just 30 minutes!",FM GF KF Q
Garlic Rosemary Beef Tenderloin,https://www.skinnytaste.com/wp-content/uploads/2023/12/Beef-Tenderloin-5.jpg,211 kcal,5,This easy Garlic Rosemary Beef Tenderloin roast is my go-to easy recipe for entertaining. It’s perfect for the holidays and comes out so tender and flavorful!,DF GF KF LC W
Grapefruit-Ginger Kombucha Mocktail,https://www.skinnytaste.com/wp-content/uploads/2023/12/Grapefuit-Kombucha-Mocktail-4.jpg,66 kcal,3,"This Grapefruit-Ginger Kombucha Mocktail is easy to make, refreshing, and good for your gut!",DF GF Q
White Bean Crostini,https://www.skinnytaste.com/wp-content/uploads/2010/01/White-Bean-Crostini-8.jpg,67 kcal,1,"Crostini are fun, bite-sized appetizers made of little slices of toasted baguette and topped with whatever your heart desires. For this crostini recipe, I used a healthy white bean topping drizzled with balsamic.",V
Slow Roasted Salmon,https://www.skinnytaste.com/wp-content/uploads/2023/12/Slow-Roasted-Salmon-with-Creamy-Mustard-Sauce-11.jpg,243 kcal,1,"This Easy, Slow Roasted Salmon served with a creamy mustard sauce uses a whole side of salmon for an impressive presentation if you’re entertaining.",GF HP LC
Breakfast Casserole with Spinach and Sausage,https://www.skinnytaste.com/wp-content/uploads/2023/12/breakfast-casserole-with-spinach-and-sausage-breakfast-casserole-with-spinach-and-sausage-breakfast-casserole-with-spinach-and-sausage-13.jpg,245 kcal,5,Prepare this cheesy Breakfast Casserole with Spinach and Sausage and sun-dried tomatoes for a crowd- pleasing holiday meal!,FM GF HP MP
Roast Beef,https://www.skinnytaste.com/wp-content/uploads/2023/12/Hands-Off-Medium-Rare-Roast-Beef-12.jpg,304 kcal,6,This Hands-Off Medium-Rare Roast Beef recipe is a game-changer – easy to make and irresistibly delicious. It’s my new roast beef staple!,DF GF HP KF LC W
Coconut Cookies,https://www.skinnytaste.com/wp-content/uploads/2023/12/1L8A5274.jpg,188 kcal,6,"These Coconut Cookies are a hybrid of coconut macaroons and a meringue cookie, but with added corn flake crumbs. Delicious and gluten-free!",DF GF KF
Cacio e Pepe Cheese Crisps,https://www.skinnytaste.com/wp-content/uploads/2023/12/Cacio-e-Pepe-Cheese-Crisps-8.jpg,58 kcal,2,"These Cacio e Pepe Cheese Crisps are fun and fast to make for an easy, low- carb holiday appetizer with only three ingredients!",LC Q
King Crab Legs,https://www.skinnytaste.com/wp-content/uploads/2008/09/KingCrabLegs-2.jpg,380 kcal,0,King crab legs are a high protein seafood choice that can transform any meal into a special occasion. They are also easy to prepare!,GF LC Q
Escarole Pasta with Sausage and Peppers,https://www.skinnytaste.com/wp-content/uploads/2011/03/Pasta-with-Italian-Chicken-Sausage-5-2.jpg,298 kcal,10,"Pasta with Italian Chicken Sausage, Peppers, and Escarole is a colorful, flavorful, 30-minute dish your whole family will love!",GF HF KF Q
Sugar Plum Baked Brie Bites,https://www.skinnytaste.com/wp-content/uploads/2023/12/Baked-Brie-Sugar-Plum-Bites-8.jpg,78 kcal,3,"Make these Sugar Plum Baked Brie Bites with crescent dough, brie cheese, pecans, and sugar plum jam (or any jam you like) for an easy holiday appetizer.",Q V
Snowman Chocolate Bark,https://www.skinnytaste.com/wp-content/uploads/2023/11/Snowman-Bark-1.jpg,118 kcal,5,"Snowman Chocolate Bark is no-bake treat, perfect for the holidays made with mini marshmallows, chocolate, pretzel sticks, and sprinkles.",HF KF V
Coconut Macaroons,https://www.skinnytaste.com/wp-content/uploads/2012/04/Coconut-Macaroons-13.jpg,129 kcal,6,"Made with sweetened coconut flakes, egg whites, and just a few other ingredients, these Coconut Macaroons are moist, chewy, and perfectly flavored. They’re wonderful for Passover and Christmas baking but can be enjoyed anytime.",DF GF
Slow Cooker Black Eyed Peas with Ham,https://www.skinnytaste.com/wp-content/uploads/2010/09/Black-Eye-Peas-6.jpg,115 kcal,1,"Ring in the New Year, or enjoy them at any time of year, with this comforting Southern-style recipe for crockpot black-eyed peas with ham!",DF FM GF HF SC
Spinach-Artichoke Crostini,https://www.skinnytaste.com/wp-content/uploads/2023/11/Spinach-Artichoke-Crostini-10.jpg,97 kcal,3,These Spinach-Artichoke Crostini are topped with a rich and creamy spread that is easy to assemble for a holiday appetizer!,V
Cheddar Biscuits,https://www.skinnytaste.com/wp-content/uploads/2023/11/231023_garlic-cheddar-biscuits-32.jpg,185 kcal,6,"The secret to making these EASY homemade Garlic Cheddar Biscuits lighter is Greek yogurt mixed into the dough! They come out golden brown, light, and so flaky!",V
Chewy Chocolate Chip Cookies (Low-Fat),https://www.skinnytaste.com/wp-content/uploads/2011/08/231128_chocolate-chip-cookies-24.jpg,133 kcal,6,"These are the best, soft and chewy Chocolate Chip Cookies! Lightly sweetened with only 3 tablespoons of coconut oil (in place of butter) in the entire batch!",KF Q
Oatmeal Chocolate Chip Cookies,https://www.skinnytaste.com/wp-content/uploads/2019/12/Low-FatChewyChocolateChipOatmealCookies-18.jpg,64 kcal,3,These Chewy Oatmeal Chocolate Chip Cookies are moist and made light by swapping out most of the butter for applesauce which works great!,V
The Best Lasagna Recipe,https://www.skinnytaste.com/wp-content/uploads/2023/09/Lasagna-12.jpg,394 kcal,10,"The BEST easy, classic lasagna recipe made with a ground beef meat sauce, no- cook noodles, and cottage cheese for extra protein!",FM GF HP KF MP
Leftover Turkey Noodle Soup,https://www.skinnytaste.com/wp-content/uploads/2011/11/Leftover-Turkey-Noodle-Soup-9.jpg,131 kcal,3,My favorite way to use leftover turkey is to make a delicious pot of turkey noodle soup. It’s also an excellent way to clean out your refrigerator!,FM KF Q
Leftover Turkey Enchiladas Skillet,https://www.skinnytaste.com/wp-content/uploads/2023/11/Leftover-Turkey-Pumpkin-Enchilada-Skillet-8.jpg,315 kcal,5,This Leftover Turkey Enchiladas recipe is a one-pan skillet meal! A super tasty way to use up leftover turkey (or chicken) and vegetables!,GF HP HF
Lemon Brussel Sprouts,https://www.skinnytaste.com/wp-content/uploads/2023/11/Lemon-Brussels-Sprouts-8.jpg,59 kcal,0,"Crisp-tender Lemon Brussel Sprouts are light and bright, made with shaved brussels sprouts, broth, lemon juice, and zest. Just 5 ingredients!",DF GF HF KF LC Q V W
Corn Casserole,https://www.skinnytaste.com/wp-content/uploads/2011/11/231116_make-over-corn-casserole-13.jpg,211 kcal,4,"This lightened up corn casserole, a cross between of a corn pudding and a corn bread is a wonderful addition to anyone’s holiday table.",V
Sweet Potato Gratin,https://www.skinnytaste.com/wp-content/uploads/2023/11/Sweet-Potato-Gratin-7.jpg,212 kcal,7,"This savory Sweet Potato Gratin is inspired by Pommes Anna, a French dish of creamy, thinly sliced potatoes with rich buttery flavor topped with melted Gruyere cheese.",GF V
Twice Baked Sweet Potatoes with Marshmallows,https://www.skinnytaste.com/wp-content/uploads/2023/11/Twice-Baked-Sweet-Potatoes-with-Marshmallows-7.jpg,142 kcal,5,Twice Baked Sweet Potatoes with Marshmallows are like personal sweet potato casseroles—the perfect Thanksgiving side dish!,V
Turkey Gravy,https://www.skinnytaste.com/wp-content/uploads/2023/11/Turkey-Gravy-6.jpg,33 kcal,1,This homemade Turkey Gravy from stock is my mom’s tried and true recipe. It’s a staple on our Thanksgiving table every year.,DF LC
Turkey Stock for Gravy,https://www.skinnytaste.com/wp-content/uploads/2023/11/Turkey-Stock-8.jpg,17 kcal,0,"Made with just a handful of ingredients in one pot, this rich and flavorful Turkey Stock recipe is the secret to creating a memorable turkey gravy. You’ll never buy stock at the store again!",DF LC MP W
Cornbread Muffins,https://www.skinnytaste.com/wp-content/uploads/2023/11/cornbread-muffins-10.jpg,170 kcal,6,"Adding fresh corn to cornbread muffins makes them moist and delicious, you’ll never know they’re light!",DF GF KF Q V
Make-Ahead Low-Carb Turkey Gravy (Flourless),https://www.skinnytaste.com/wp-content/uploads/2023/11/Flourless-Gravy-9.jpg,53 kcal,0,Rich turkey stock and pureed roasted vegetables create a creamy low-carb turkey gravy without flour.,DF GF LC
Sweet Potato Casserole with Marshmallows,https://www.skinnytaste.com/wp-content/uploads/2011/10/sweet-potato-casserole-with-marshmallows-1-3.jpg,132.5 kcal,5,"This healthier sweet potato casserole with marshmallows is made with golden raisins, crushed pineapple and spices topped with pecans and mini marshmallows.",GF KF V
Mashed Sweet Potatoes,https://www.skinnytaste.com/wp-content/uploads/2012/10/Mashed-Sweet-Potatoes-5.jpg,151 kcal,4,"Mashed sweet potatoes are often smothered in sugar, but this savory recipe is healthy and just as delicious! Your loved ones will keep coming back for more.",Q V
Roasted Delicata Squash and Brussels Sprouts,https://www.skinnytaste.com/wp-content/uploads/2023/11/Delicata-Squash-and-Brussels-Sprouts-6-2.jpg,213 kcal,2,"Roasted Delicata Squash and Brussels Sprouts drizzled with a balsamic glaze, is a true celebration of fall on a plate, a wonderful side dish with your favorite protein.",DF HF V
Meximelt,https://www.skinnytaste.com/wp-content/uploads/2023/10/Meximelts-9.jpg,224 kcal,7,This healthier Meximelt copycat recipe is made with ground turkey seasoned with my homemade taco seasoning wrapped in a tortilla with melted cheese and pico de gallo. Easy and delicious!,HP HF KF
Butternut Squash Lasagna (No-Noodle),https://www.skinnytaste.com/wp-content/uploads/2016/09/Noodle-less-Butternut-Sausage-Lasagna-8.jpg,402 kcal,10,"This fall butternut squash lasagna swaps pasta for butternut squash and layered with chicken sausage, tomato sauce, ricotta, and mozzarella. It’s so delicious, you won’t miss the pasta!",FM GF HF LC
Slow Cooker Chicken Enchiladas,https://www.skinnytaste.com/wp-content/uploads/2023/10/Slow-Cooker-Chicken-Enchiladas-6.jpg,315 kcal,7,"I’m obsessed with these easy, Slow Cooker Chicken Enchiladas made casserole-style, with black beans, tortillas, my homemade enchilada sauce, and cheese.",GF HP HF MP SC
Cheesy Baked Pumpkin Pasta,https://www.skinnytaste.com/wp-content/uploads/2013/11/baked-pumpkin-pasta-17.jpg,307 kcal,8,"This Cheesy Baked Pumpkin Pasta is baked with a quick pumpkin sauce made with bacon, shallots, Pecorino cheese and melted mozzarella cheese.",GF HF
Green Beans with Mushrooms,https://www.skinnytaste.com/wp-content/uploads/2023/10/green-beans-with-mushrooms-11.jpg,88 kcal,2,"This Green Beans with Mushrooms recipe is an easy stove-top side dish with all the elements of a green bean casserole, but it doesn’t take up valuable oven space.",GF LC Q
Beef Stew,https://www.skinnytaste.com/wp-content/uploads/2023/10/Beef-Stew-Recipe-10.jpg,439 kcal,7,"This classic beef stew is the ideal dinner for a chilly weekend. Beef, carrots, potatoes, onion, celery, peas, and mushrooms come together in harmony, creating a cozy, comforting meal.",DF FM GF HP KF
Mummy Hot Dogs,https://www.skinnytaste.com/wp-content/uploads/2023/10/Mummy-Dogs-9.jpg,81 kcal,2,The kids will love these homemade Mummy Hot Dogs made with turkey franks – a fun kid-friendly appetizer for Halloween!,KF
Air Fryer Chicken Bites,https://www.skinnytaste.com/wp-content/uploads/2023/10/air-fryer-chicken-bites-6.jpg,233 kcal,1,"These easy, high-protein Air Fryer Chicken Bites, made with boneless skinless chicken breast chunks, are perfect for a quick dinner! I make a batch and use the other half for meal prep for the week.",AF DF FM HP LC MP Q
Shaved Brussels Sprout Salad with Pears and Pomegranate,https://www.skinnytaste.com/wp-content/uploads/2023/10/Shaved-Brussels-Sprouts-Salad-with-Pears-Pomegranate-and-Pepitas-6.jpg,154 kcal,4,"This delicious Shaved Brussels Sprout Salad made with juicy pears, pomegranates, pepitas, and goat cheese is the perfect fall side dish.",LC Q V
Pumpkin Mug Cake,https://www.skinnytaste.com/wp-content/uploads/2023/10/231005_pumpkin-mug-cake-13.jpg,134 kcal,4,"This quick and easy microwave Pumpkin Mug Cake is the perfect fall dessert for one, or multiply the recipe and make it in ramekins to feed a crowd!",GF KF Q
Parmesan Brussel Sprouts,https://www.skinnytaste.com/wp-content/uploads/2023/10/Sheet-Pan-Parmesan-Brussels-Sprouts-10.jpg,163 kcal,4,"These crispy Parmesan Brussels Sprouts roast on a sheet pan coated with grated Parmesan cheese, they’re so good!",GF V
Mummy Jalapeno Poppers,https://www.skinnytaste.com/wp-content/uploads/2023/10/Mummy-Jalapeno-Poppers-8.jpg,65 kcal,2,"These cute, spicy Mummy Jalapeno Poppers, made with my Greek yogurt dough, are the perfect Halloween appetizer for your Halloween Party!",V
Roasted Pumpkin Seeds,https://www.skinnytaste.com/wp-content/uploads/2011/09/Roasted-Pumpkin-Seeds-9.jpg,72 kcal,3,"Roasted pumpkin seeds are a fun and easy snack to make with your kids, especially after carving a pumpkin. Season with just plain salt for a savory snack, toss them in cinnamon sugar for a sweet treat, or add any other flavors desired for a custom treat.",DF GF LC V
Instant Pot Brown Rice,https://www.skinnytaste.com/wp-content/uploads/2023/09/230922_instant-pot-brown-rice-17.jpg,184 kcal,5,"This foolproof Instant Pot brown rice is so easy and makes perfect, flavorful brown rice every time!",DF FM GF MP PC V
Autumn Kale Salad with Chicken,https://www.skinnytaste.com/wp-content/uploads/2023/09/Fall-Chopped-Salad-with-Chicken-7.jpg,504 kcal,9,"A healthy, fall Kale Salad with Chicken made with roasted butternut squash, apples, pecans, and goat cheese with a maple-Dijon vinaigrette.",GF HP HF MP
Roasted Sweet Potatoes,https://www.skinnytaste.com/wp-content/uploads/2023/09/Roasted-Sweet-Potatoes-10.jpg,215 kcal,6,Sweet and savory roasted sweet potatoes are the perfect side dish for your favorite fall and winter dishes.,DF GF HF V W
Minestrone Soup,https://www.skinnytaste.com/wp-content/uploads/2023/09/Stovetop-Minestrone-Soup-7.jpg,175 kcal,2,"This is the best minestrone soup recipe, a hearty, vegetable-rich Italian soup made from scratch with plenty of fiber from the beans and vegetables. Perfect for serving with crusty bread.",FM GF HF MP
Pumpkin Chocolate Chip Cookies,https://www.skinnytaste.com/wp-content/uploads/2023/09/230915_soft-pumpkin-chocolate-chip-cookies-12.jpg,95 kcal,5,"These soft Pumpkin Chocolate Chip Cookies, made with pumpkin puree, pumpkin spice, and cream cheese, have a cake-like texture and lots of pumpkin flavor!",KF Q V
Coconut Curry Butternut Squash Soup,https://www.skinnytaste.com/wp-content/uploads/2010/10/Coconut-Curry-Butternut-Squash-Soup-7.jpg,108 kcal,2,"This Butternut Squash Soup is made with coconut milk, curry, and Indian spices which perfectly compliment the flavor of the butternut squash. It’s easy to make and leftovers store well!",DF GF Q V
Pumpkin Bread Recipe,https://www.skinnytaste.com/wp-content/uploads/2011/10/Pumpkin-Bread-Recipe-4.jpg,103 kcal,5,"Warm your kitchen with the aroma of pumpkin spice by baking this healthy pumpkin bread, ideal for cool, cozy fall days.",DF V
Roasted Broccoli and Cauliflower,https://www.skinnytaste.com/wp-content/uploads/2023/09/230912_roasted-broccoli-cauliflower-09.jpg,163 kcal,4,"This easy sheet pan roasted broccoli and cauliflower with Parmesan, breadcrumbs, and garlic is a quick and delicious side dish!",GF KF Q
Pumpkin Baked Oatmeal Cups,https://www.skinnytaste.com/wp-content/uploads/2023/09/Pumpkin-Baked-Oatmeal-Cups-9.jpg,104 kcal,2,"Made with pumpkin puree, oats, pumpkin pie spice, and Greek yogurt, these Pumpkin Baked Oatmeal Cups are an easy, creamy breakfast full of fall flavor. They’re perfect to make in advance for breakfast on-the-go!",FM GF MP V
Apple Turnover,https://www.skinnytaste.com/wp-content/uploads/2023/09/Apple-Turnovers-12.jpg,111 kcal,2,"This easy Apple Turnover recipe is filled with apples, cinnamon, and golden raisins and made with a phyllo dough crust. It’s the perfect light fall dessert or breakfast!",DF KF V
Apple Cobbler Recipe,https://www.skinnytaste.com/wp-content/uploads/2021/10/Skinny-Apple-Cobbler-13-2.jpg,215 kcal,7,"Apple Cobbler recipe is made with warm cinnamon apples and a golden cobbler crust. Top it with whipped topping or yogurt, the perfect fall dessert!",V
Instant Pot Rice,https://www.skinnytaste.com/wp-content/uploads/2023/09/Instant-Pot-White-Rice-3.jpg,179 kcal,6,"Making fluffy, perfect white rice in the Instant Pot is easy, delicious, and foolproof with this simple method!",DF FM GF MP PC Q V
Stuffed Shells with Meat Sauce,https://www.skinnytaste.com/wp-content/uploads/2011/09/Spinach-Stuffed-Shells-with-Meat-Sauce-11.jpg,360.9 kcal,9,"Stuffed Shells with Meat Sauce made with jumbo pasta shells stuffed with ricotta (or use cottage cheese for more protein), mozzarella and spinach in a ground turkey meat sauce. Healthy, high protein and family friendly!",FM GF KF
Chicken Nuggets,https://www.skinnytaste.com/wp-content/uploads/2023/09/Chicken-Nuggets-10.jpg,280 kcal,7,"These picky-kid-approved, healthy Chicken Nuggets made with ground chicken are crispy on the outside and juicy on the inside. Better than fast-food and even have hidden veggies inside!",AF DF GF HP KF Q
Classic Egg Salad,https://www.skinnytaste.com/wp-content/uploads/2019/01/Egg-Salad-Finals-5.jpg,185 kcal,3,"This easy egg salad recipe is the perfect make-ahead dish for breakfast on toast, for lunch in a wrap, lettuce wrap, over salad or a slice of bread. Sometimes I just eat it with a spoon right out of the fridge!",DF GF HP KF LC MP V W
Pumpkin Chocolate Chip Muffins,https://www.skinnytaste.com/wp-content/uploads/2013/09/Mini-Pumpkin-Chocolate-Chip-Muffins-9.jpg,160 kcal,6,Mini Pumpkin Chocolate Chip Muffins made lighter by swapping out butter for pumpkin puree – loaded with chocolate chips in every bite!,KF V
Banana Bread Recipe,https://www.skinnytaste.com/wp-content/uploads/2023/09/BananaBread-18.jpg,123 kcal,4,"When I have ripe bananas on my counter, I always crave this moist banana bread recipe made healthier with applesauce in place of butter.",DF KF V
Cinnamon-Raisin Overnight Oats,https://www.skinnytaste.com/wp-content/uploads/2023/08/Cinnamon_Raisin_Overnight_Oats-03.jpg,378 kcal,8,"Easy Cinnamon-Raisin Overnight Oats are the perfect high-fiber, make-ahead, healthy weekday breakfast! No cooking required!",DF GF HF MP V
Orange Chicken,https://www.skinnytaste.com/wp-content/uploads/2014/03/Orange-Chicken-7.jpg,288 kcal,4,"Sweet, tangy, slightly spicy and flavorful – this makeover Orange Chicken is a lighter and healthier version of the popular Chinese fast-food take-out dish",GF Q
Crispy Oven Roasted Baby Potatoes,https://www.skinnytaste.com/wp-content/uploads/2023/08/Sheet-Pan-Roasted-Potatoes-7.jpg,150 kcal,4,"The best, crispy Roasted Baby Potatoes made on a sheet pan with baby potatoes, spices, Italian seasoning, and grated Parmesan cheese.",GF KF
Pasta with Creamy Zucchini Sauce,https://www.skinnytaste.com/wp-content/uploads/2023/08/Creamy-Pasta-with-Roasted-Parmesan-Zucchini-Sauce-10.jpg,390 kcal,11,"There’s no cream in this creamy pasta recipe. Instead, the roasted zucchini creates a delicious, creamy zucchini pasta sauce. Perfect as a meatless main dish or as a side with your favorite protein!",FM KF
"Salisbury Steak Meatballs (Instant Pot, Stove, Slow Cooker)",https://www.skinnytaste.com/wp-content/uploads/2016/08/Salisbury-Steak-Meatballs-9-1.jpg,271 kcal,7,"These salisbury steak meatballs are cooked in a light mushroom gravy, lightened up by using half ground turkey and half lean ground beef.",FM KF MP PC SC Q
Mini Quiche,https://www.skinnytaste.com/wp-content/uploads/2023/08/Mini-Quiche-Recipe-9.jpg,268 kcal,6,"If you need a healthy, protein-packed breakfast to make ahead and eat on the go, you’ll love this easy mini quiche recipe with ham and cheese. It’s great for breakfast, brunch, meal prep, and back to school.",MP
Cauliflower Rice,https://www.skinnytaste.com/wp-content/uploads/2023/08/How-to-Make-Cauliflower-Rice-10.jpg,103 kcal,2,"Here’s a step-by-step recipe for making easy, low-carb cauliflower rice from scratch in the skillet or roasted in the oven. It’s delicious in bowls, arancini, stir fries, meal prep, and more.",DF GF LC MP V
Air Fryer Chicken Cutlets,https://www.skinnytaste.com/wp-content/uploads/2023/08/Air-Fryer-Chicken-Cutlets-9.jpg,268 kcal,4,"Air fryer chicken cutlets turn out crispy, golden, juicy, and delicious – perfect with veggies, over salads, with pasta, and more.",AF KF
